AuthID,First Name,Last Name,Birthday,Country of Residence,Hrs Writing per Day
AS443,Abraham,Stackhouse,7/1/2147,Norway,6
AW980,Amelia,"Wangerin, Jr.",3/26/2141,New Zealand,16
AI923,Anastasia,Inez,3/30/2148,New Zealand,11
AM329,Arthur,McCrumb,3/13/2148,New Zealand,3
AH957,Arturo,Hijuelos,1/9/2129,United Kingdom,8
BH149,Bernard,Hopf,11/27/2122,United States,1
BT132,Bianca,Thompson,1/28/2150,United States,5
BL857,Bravig,Lewisohn,1/21/2238,United States,11
BM856,Burton,Malamud,1/18/2145,Brazil,6
CS190,Carolyn,Segal,9/24/2133,United States,7
CF829,Charles,Fenimore,3/18/2120,Norway,7
CW626,Clifford,Wolitzer,8/1/2143,United Kingdom,8
DF413,Darryl,Fleischman,12/7/2131,Germany,16
DB605,David,Beam,2/26/2157,United States,5.13
EH487,Elizabeth,Herbach,1/22/2157,New Zealand,0
EK605,Elmer,Komroff,7/11/2129,Norway,6
GG800,Gloria,Green,9/19/2156,Hong Kong,8
GH671,Grace,Harrison,4/8/2161,United States,6
HM751,Hamlin,Myrer,1/29/2225,Brazil,9
HB302,Hillary,Barnhardt,3/7/2154,New Zealand,4
JH502,Jill,Hergesheimer,6/15/2156,Canada,8
JS525,John W.,Spanogle,8/10/2149,United Kingdom,10
JK592,Jonathan,Kotzwinkle,2/3/2151,Germany,6
KY296,Kathy,Yglesias,4/3/2151,Brazil,8
KD840,Kenneth,Douglas,9/24/2163,South Africa,3
KE397,Kris,Elegant,8/26/2149,Hong Kong,5
LL585,Langston,Lippman,10/2/2147,New Zealand,0
LN356,Leonard,Nabokov,9/29/2169,United States,1
LK915,Lori,Kaan,3/27/2147,China,6
LD375,Lynne,Danticat,8/19/2155,New Zealand,8
MW974,Malin,Wolff,1/31/2141,Hong Kong,6
OL640,Oliver,Lowry,8/29/2155,Netherlands,4
PH273,Patricia,Hazzard,4/27/2146,Singapore,5
PA878,Philip,Antrim,4/22/2148,Netherlands,7
PB147,Phoebe,Brown,8/21/2149,Hong Kong,13
RL217,R.M.,Larner,3/26/2130,China,9
RM781,Robert,Milofsky,1/12/2157,United States,10
RP438,Robert,Plimpton,11/11/2160,Canada,13
UK129,Ursula,Karénine,2/25/2156,United Kingdom,9
WH901,Ward,Haigh,10/7/2153,Brazil,7
WB149,Wendell,Barton,10/25/2138,United States,2
